lead_name,lead_type,source_platform,query,evidence_summary,relevance,needs_manual_verify,notes
有意思港式茶餐厅,门店,TripAdvisor/搜索结果,赣州 港式茶餐厅,TripAdvisor 页面显示赣州市有「有意思港式茶餐厅」，评分 3.0，评论数较少。,中,是,可作为早期港式茶餐厅样本，但信息老旧且评论量少，需要核验是否仍营业。
积堡福港式餐厅,门店,TripAdvisor/搜索结果,赣州 中餐 港式餐厅,TripAdvisor 赣州中餐列表中出现「积堡福港式餐厅」。,中,是,需要核验门店状态、位置、人均和品类。
悦得闲广式点心茶楼（万象城店）,门店/社媒线索,抖音搜索结果,赣州 广式早茶 万象城,抖音搜索结果片段出现「悦得闲广式点心茶楼（万象城店）」和「赣州美食、粤菜美食、广式早茶」标签。,高,是,这是目前最接近点都德模型的线索，需要重点核验评价、人均、客流和复购。
避风塘（万嘉商业广场店）,门店,携程/Trip.com,赣州 港式茶餐厅 避风塘,携程页面显示其为港式茶餐厅，有午茶供应，特色菜含虾饺、叉烧包、肠粉、干炒牛河等；页面显示点评 182 条、人均 78 元。,高,是,适合作为港式茶餐厅/午茶样本，需核验是否属于赣州中心城区核心样本。
利苑港式粤菜茶楼,门店/地图线索,地图/Business Search,赣州 港式粤菜茶楼,地图检索出现 Liyuan Gangshi Cantonese Teahouse，地址指向章贡区红旗大道附近。,中,是,需要核验中文名、营业状态、是否真实为粤式茶楼。
悦之味港式茶餐厅,门店/抖音线索,抖音搜索结果,赣州 港式茶餐厅 悦之味,抖音搜索结果片段提到沙河一家港式茶餐厅，描述含蒸凤爪、金钱肚、鲜虾肠、虾饺皇等。,中,是,需核验是否在赣州市区、是否仍营业、具体门店名。
陶陶居,品牌对标,品牌官网/公开资料,陶陶居 品牌 门店 粤菜 老字号,陶陶居为广州老字号粤菜/茶楼品牌，可作为高认知城市首店对标。,高,否,用于品牌模型对标，不等于赣州已有需求。
点都德,品牌对标,公开资料/餐饮媒体,点都德 广式早茶 点心 茶楼,点都德为广式早茶/点心茶楼模型代表，适合判断赣州是否具备全天茶市和点心复购基础。,高,否,用于品牌模型对标，不等于赣州已有需求。
味莊茶餐厅阳明国际店,门店,Trip.com,赣州 港式茶餐厅,Trip.com页面显示味莊茶餐厅阳明国际店为赣州餐厅并有用户称是喜欢的粤式茶餐厅且在赣州开了蛮多家。,高,是,需要核验门店是否仍营业及是否能代表赣州市区港式茶餐厅供给；source=https://hk.trip.com/restaurant/china/ganzhou/detail/restaurant-33641709
味莊茶餐厅自家点心万象城店,门店,大众点评公开图片页,赣州万象城 港式茶餐厅 点心,大众点评公开图片页显示味莊茶餐厅自家点心万象城店并出现港式晶莹鲜虾饺等菜品图片标签。,高,是,只使用公开图片页可见信息；需人工核验评分人均评论和真实复购；source=https://www.dianping.com/shop/l93hy6Cd2liL3OJO/photos/tag-%E8%8F%9C-%E6%B8%AF%E5%BC%8F%E6%99%B6%E8%8E%B9%E9%B2%9C%E8%99%BE%E9%A5%BA
味莊茶餐厅自家点心万象城店,门店,360地图公开索引,赣州万象城 茶餐厅 点心,360地图公开索引在赣州万象城附近结果中显示味庄茶餐厅自家点心万象城店位于华润中心万象城5楼526商铺。,高,是,地图索引需核验营业状态和品类；source=https://m.map.360.cn/m/search/detail/pid%3D82e57193f21a3cd5
味庄粤港烧腊海鲜茶餐厅达芬奇店,门店,360地图公开索引,赣州 烧腊 茶餐厅,360地图公开索引显示味庄粤港烧腊海鲜茶餐厅达芬奇店并关联附近味庄茶餐厅自家点心万象城店。,中,是,需人工核验具体地址营业状态及是否仍为粤港烧腊海鲜茶餐厅；source=https://m.map.360.cn/m/search/detail/pid%3D77864023e1236e3d
太极粤菜中餐厅,门店,携程/Trip.com,赣州 粤菜 万象城,携程页面显示赣州格兰云天国际酒店章贡区万象城店太极粤菜中餐厅为粤菜餐厅并标注人均和少量点评。,高,是,酒店内粤菜样本需核验是否对本地大众消费有代表性；source=https://gs.ctrip.com/html5/you/foods/fooddetail/473/85560.html
太极粤菜中餐厅,门店,永安旅游,赣州 粤菜 万象城 酒店,永安旅游页面显示赣州格兰云天国际酒店章贡区万象城店太极粤菜中餐厅为粤菜并给出地址电话。,高,是,需核验当前营业状态菜单价格和客群场景；source=https://www.wingontravel.com/discovery/restaurant-152358
赣州香港油尖旺烧腊茶餐厅,门店,吃喝玩乐IN赣州,赣州九方 烧腊 茶餐厅,本地生活站点显示赣州香港油尖旺烧腊茶餐厅位于九方购物中心4楼并介绍主营香港烧腊烧味饭等港式菜品。,高,是,强相关但需核验是否仍在九方营业及当前评价人均；source=https://www.az0797.com/showsj611.html
赣州香港油尖旺烧腊茶餐厅,门店,吃喝玩乐IN赣州商家列表,赣州九方 粤菜 港式,九方购物中心商家列表出现赣州香港油尖旺烧腊茶餐厅并标注地址为九方购物中心4楼。,高,是,商家列表可能较旧需核验营业状态；source=https://m.az0797.com/SHOW_SJ_LIST.asp?class3id=2
港吉冰室九方店,社媒笔记,大众点评吃喝玩乐精选,赣州九方 港式茶餐厅,大众点评精选公开页标题为赣州探店超正宗的港茶餐厅并标注店铺为港吉冰室九方店地址九方4楼人均40加。,高,是,探店内容不能等同复购需求且发布时间较早需核验；source=https://www.dianping.com/discovery/841899812
港式茶餐厅地一大道中环广场,门店,赣州本地宝,赣州 港式茶餐厅,赣州本地宝公开页面显示港式茶餐厅服务时间10:00到21:30品类粤菜地址为章贡区地一大道中环广场美食区。,中,是,需核验门店真实名称和是否仍营业；source=https://m.ganzhou.bendibao.com/wangdian/dian/4607845.shtm
利苑港式茶餐厅,门店,TripAdvisor,赣州 利苑港式茶餐厅,TripAdvisor页面显示利苑港式茶餐厅在赣州市并标注中餐和粤菜但评论为0条。,中,是,评论量不足且信息可能老旧需核验营业状态；source=https://cn.tripadvisor.com/Restaurant_Review-g1016926-d4861016-Reviews-Li_Yuan_Hong_Kong_Style_Tea_Restaurant-Ganzhou_Jiangxi.html
赣州利苑港式茶餐厅,门店,吃喝玩乐IN赣州,赣州 利苑港式茶餐厅,本地生活站点显示赣州利苑港式茶餐厅地址在红旗大道赣龙大酒店旁并介绍为港式口味餐饮。,中,是,需核验是否仍营业和是否属于当前赣州市区样本；source=https://www.az0797.com/showsj354.html
有意思港式茶餐厅营角上店,门店,大众点评公开图片页,赣州 有意思港式茶餐厅,大众点评公开图片页显示有意思港式茶餐厅营角上店并提供用户上传实拍照片入口。,中,是,仅为图片页线索不能替代评分评论核验；source=https://www.dianping.com/shop/5408297/photos?pg=2
赣州市中餐餐厅榜单,平台榜单,TripAdvisor,赣州 中餐 港式餐厅,TripAdvisor赣州市中餐餐厅列表出现有意思港式茶餐厅和积堡福港式餐厅等条目。,中,是,榜单样本少且可能老旧需逐个门店核验；source=https://cn.tripadvisor.com/Restaurants-g1016926-c11-Ganzhou_Jiangxi.html
赣州粤菜馆地址列表,平台榜单,赣州本地宝,赣州 粤菜馆 地址,赣州本地宝粤菜馆地址列表出现中山名轩潮香园茶餐厅木欣百合粤式养生炖品朋聚轩酒家广东猪肚鸡等线索。,中,是,聚合列表需逐项核验品类营业状态和是否核心城区；source=https://m.ganzhou.bendibao.com/wangdian/yuecai/
火啫啫粤式啫啫煲赣州万象城,门店,360地图公开索引,赣州万象城 粤式啫啫煲,360地图公开索引显示火啫啫粤式啫啫煲赣州万象城并在附近列出味庄茶餐厅和悦景酒家。,高,是,地图索引强相关但需核验营业状态和实际菜系；source=https://m.map.360.cn/m/search/detail/pid%3D82e57193f21a3cd5
悦得闲广式点心茶楼赣州线索,社媒笔记,YouTube公开标题,赣州 广式早茶 悦得闲,公开视频标题显示江西赣州在知名广东全天茶市品牌饮早茶悦得闲并出现粤语中字日期信息。,高,是,视频标题是公开线索需人工观看核验门店位置人均和消费者反馈；source=https://www.youtube.com/watch?v=CwbWrzyhrBk
江西赣州旧茶楼港人开的茶楼,社媒笔记,Instagram公开搜索结果,赣州 旧茶楼 早茶,Instagram公开搜索结果片段显示江西赣州旧茶楼港人开的茶楼早茶好吃并列出叉烧包烧卖虾饺凤爪等菜品和价格片段。,中,是,社媒片段不能作为事实需核验门店名地址和是否商业推广；source=https://www.instagram.com/p/DYW3Zeyj5h8/
粤香亭赣州早茶线索,社媒笔记,抖音公开搜索结果,赣州 粤香亭 广式早茶,抖音公开搜索片段出现赣州粤香亭早茶开档不用远赴广东也能吃上正宗早茶及于都也能吃早茶啦等描述。,中,是,社媒片段且可能涉及于都并非赣州市区需重点核验地理范围；source=https://www.douyin.com/search/%E7%B2%A4%E9%A6%99%E4%BA%AD%E6%AD%A3%E5%AE%97%E9%A1%BA%E5%BE%B7%E5%91%B3
食满园广式夜茶线索,社媒笔记,抖音公开搜索结果,赣州 广式茶点 夜茶,抖音公开搜索片段出现赣州香香和食满园广式夜茶以及一百多款点心等描述。,中,是,社媒搜索片段需核验门店名位置是否仍营业及夜茶是否真实持续；source=https://www.douyin.com/search/%E7%A6%8F%E6%BB%A1%E5%9F%8E%E5%B9%BF%E5%BC%8F%E8%8C%B6%E7%82%B9
赣州好吃的粤菜地图搜索,平台榜单,百度地图公开索引,赣州 好吃的粤菜,百度地图公开索引展示赣州好吃的粤菜搜索结果但可见条目多为客家或其他菜系且相关性混杂。,低,是,说明地图泛搜索噪音较高需人工筛选不能直接入样本；source=https://map.baidu.com/place/ganzhou/1/16_5
陶陶居北京首店与异地扩张,品牌资料,北京商报,陶陶居 下沉市场 扩张 门店,北京商报报道陶陶居北京首店是品牌向外拓展的第四座城市并提到全国门店数量和北京门店人均较广州更高。,高,否,品牌扩张对标资料不代表赣州需求；source=https://www.bbtnews.com.cn/2021/1104/417766.shtml
陶陶居上海扩张与定位,品牌资料,界面新闻,陶陶居 上海 扩张 粤菜,界面新闻报道陶陶居上海店选择普通定位并提到以往门店人均约110到120元及异地供应链挑战。,高,否,用于评估陶陶居入赣价格和供应链适配风险；source=https://m.jiemian.com/article/3682547.html
陶陶居逆生长与门店扩张,品牌资料,21世纪经济报道,陶陶居 门店 扩张 老字号,21世纪经济报道提到陶陶居餐饮门店快速扩张并在疫情期间仍有开店计划。,中,否,品牌历史资料较早需结合更新资料使用；source=https://m.21jingji.com/article/20201206/herald/7cf3f792d076b4e8aae240ed5b7b348c_zaker.html
点都德异地扩张与全天茶市,品牌资料,赢商网,点都德 广式茶点 北上 开店,赢商网报道点都德2018年启动异地扩张并在华东西南等城市开直营店同时面临价格分量和地道性争议。,高,否,用于点都德入赣风险判断但不代表赣州已有需求；source=https://m.winshang.com/news702651.html
点都德早茶夜酒bistro,品牌资料,赢商网,点都德 早茶夜酒 bistro 场景,赢商网报道点都德早茶夜酒bistro概念店并提到全国近90家门店覆盖多个区域及全天茶市产品创新。,高,否,用于判断点都德场景创新与赣州适配性；source=https://m.winshang.com/news737655.html
广式早茶品类全国化讨论,品牌资料,CBNData,陶陶居 点都德 蔡澜港式点心 早茶品类,CBNData文章讨论陶陶居蔡澜港式点心点都德等品牌外出扩张并提出早茶品类全国化趋势问题。,高,否,行业判断资料需与赣州本地样本分开使用；source=https://www.cbndata.com/information/224849
广州酒家三城开店,品牌资料,广州酒家官网,广州酒家 餐饮 扩张 外地,广州酒家官网企业新闻显示广州酒家在广州深圳长沙三城三店齐开并强调广府文化和正宗广式点心。,高,否,官方品牌扩张资料可作广州酒家对标但不代表赣州适配；source=https://www.gzr.com.cn/xinwenzhongxin/qiyexinwen/2554.html
蔡澜点心全国扩张,品牌资料,21财经,蔡澜点心 扩张 门店 城市,21财经报道蔡澜点心走出广东进入全国30个城市并强调核心商场选址年轻人和一人食场景。,高,否,用于轻量点心店模型对标不等同茶楼需求；source=https://www.21jingji.com/article/20251007/herald/38e00402719fa03585fe8137e523a33e.html
蔡澜点心百店策略,品牌资料,南方都市报,蔡澜点心 100家 门店 策略,南都报道蔡澜点心2018年深圳海岸城首店开业并于2025年拥有100家门店且策略偏稳健。,高,否,用于品牌扩张速度和城市选择对标；source=https://m.mp.oeeee.com/a/BAAFRD0000202509181124580.html
广东早茶文化背景,品牌资料,广州网信办,广东早茶 文化 茶楼,广州网信办转载文章介绍广州早茶历史茶楼社交属性和周末年轻人饮茶习惯。,中,否,文化背景资料不能直接推导赣州接受度；source=https://www.gzwxb.gov.cn/context/contextId/201200
赣州融湾与大湾区联系,本地文章,人民日报,赣州 融湾 大湾区,人民日报文章讨论赣州与大湾区深圳对口合作和湾区游客交流等宏观背景。,低,否,宏观背景不能证明粤菜消费需求只可作为城市融合背景；source=https://paper.people.com.cn/rmrb/pc/content/202512/22/content_30126167.html
