platform,platform_type,topic,url,access_status,evidence_summary,business_use,reliability,limitations,collected_at,notes
窄门餐眼,餐饮行业数据库/选址与品牌数据平台,平台能力与访问边界,https://www.canyandata.com/,官网公开介绍可访问；品牌明细通常需登录/会员,官网公开介绍称覆盖3400万+餐饮门店、开关店、热销产品、用户评价、品牌舆情、供应商等数据。,适合后续查赣州餐饮门店密度、品类竞争、品牌门店数、开关店与选址热度。,高（平台能力说明）；具体品牌数据需会员页验证,本轮未绕过登录/会员限制，未取得陶陶居/点都德在窄门内的品牌详情页数据。,2026-06-17,资深餐饮商业调研常用平台；当前仅记录公开可见平台能力。
窄门餐眼/App Store公开页,餐饮行业数据库/移动端说明,平台覆盖范围,https://apps.apple.com/cn/app/窄门餐眼/id1556838530,公开可访问,App Store页面称覆盖3400万+餐饮门店、9000+源头供应链资源、300+省市区域，支持品牌查询、品类查询、开店选址等。,说明该平台适合作为赣州品类供给与品牌对标的专业数据源。,高（平台自述）,不代表具体赣州粤菜数据已获取。,2026-06-17,记录为工具源，不写成市场事实。
红餐网,餐饮行业媒体,广式茶楼外拓与价格带,https://m.canyin88.com/zixun/2020/01/20/77006.html,公开可访问,文章讨论陶陶居、点都德等广式茶楼走红上海，提到点都德、陶陶居在上海约110-150元价格带，并将其定位为“高质价比”粤菜机会。,用于判断陶陶居/点都德的外地市场价格锚点，与赣州公开样本65.5元均值形成价格差。,中高（行业媒体，时间较早）,上海案例不能直接外推赣州；文章发布于2020年。,2026-06-17,作为商业判断输入，不作为赣州消费者事实。
赢商网,商业地产/购物中心行业媒体,点都德副牌德小馆与商场选址,https://m.winshang.com/news667762.html,公开可访问,赢商网报道点都德推出德小馆，全国首店进驻上海正大广场，定位怀旧与精致相融的粤菜小馆，门店风格更年轻时尚。,用于分析点都德在商业体中的副牌/年轻化模型，以及大商场首店逻辑。,中高（商业地产媒体）,是上海项目案例，非赣州；时间为2020年。,2026-06-17,与赣州万象城/九方商业体场景可做类比，但不能直接等同。
大众点评移动公开页,本地生活公开片段,点都德·德小馆上海门店公开价格/榜单片段,https://m.dianping.com/shop/1331477438?msource=applemaps,公开片段可访问，完整信息需App,公开片段显示点都德·德小馆(正大店) 4.3分、105元/人、陆家嘴商圈粤式茶点、陆家嘴商圈粤菜销量榜第1名、7万+到店提示。,作为点都德副牌商业体模型的价格和场景参照。,中（平台公开片段）,上海门店，不代表赣州；完整用户评价不可抓取。,2026-06-17,未打开App、未抓取隐藏评论。
界面新闻/新浪财经转载,财经商业媒体,陶陶居外拓与并购背景,https://m.jiemian.com/article/3682547.html,公开可访问,报道陶陶居走出广州拓展到深圳、厦门、上海，并提到广州酒家收购陶陶居100%股权超过1.99亿元，总店作为示范店并坚持粤菜烧腊茶点。,用于判断陶陶居更偏老字号资产、正餐/茶楼复合模型，供应链与品牌资产门槛更重。,中高（财经媒体）,时间较早；不能反映当前所有门店表现。,2026-06-17,陶陶居与点都德需要分开建模。
北京旅游网/北京商报内容,城市商业/媒体转载,陶陶居北京门店与外拓城市,https://www.visitbeijing.com.cn/article/47Qne0AGtiI,公开可访问,报道陶陶居北京首店为外拓第四座城市，提到当时全国门店29家；北京门店定价约150元，广州普通门店约100元。,用于陶陶居价格适配和外拓城市层级判断。,中高（媒体报道）,时间点旧，门店数会变化；价格为报道口径。,2026-06-17,对赣州而言，价格压力高于本地样本均值。
中国饭店协会,行业协会年度报告,2025中国餐饮业年度报告,https://www.chinahotel.org.cn/articles/17417,公开可访问,报告发布页提到轻量化店铺模型、下沉市场布局速度加快，未来在供应链与下沉市场中寻找可持续增长路径。,用于判断赣州这类非一线城市有扩张机会，但更适合轻量模型先行验证。,高（行业协会）,宏观行业结论，不是赣州粤菜专属数据。,2026-06-17,支持“先轻量验证、再大店进入”的路径。
KPMG,咨询机构行业报告,2026中国餐饮企业发展报告,https://kpmg.com/cn/zh/insights/2026/05/2026-china-food-and-beverage-enterprise-development-report.html,公开摘要/PDF可访问,报告摘要称餐饮行业面临存量竞争、客单价下行，但下沉市场扩容；PDF片段显示一线城市门店同比减少2.9%、二线增长3.4%、下沉市场增速超13%。,用于判断赣州存在下沉/低线城市扩容背景，但需警惕客单价下行。,高（咨询机构报告）,宏观报告，不提供赣州粤菜细项。,2026-06-17,增加“机会与价格压力并存”的商业判断权重。
PwC/中国连锁经营协会,咨询机构+行业协会报告,中国连锁餐饮企业资本之路系列报告2025,https://www.pwccn.com/zh/industries/retail-and-consumer/publications/china-chain-catering-enterprises-dec2025.html,公开摘要/PDF可访问,报告说明中国连锁餐饮企业资本化与规模扩张，PDF片段称上市募资用于开设新店、优化供应链、提升服务质量，下沉市场和出海是重要扩张方向。,用于判断连锁餐饮进入赣州必须关注供应链、标准化与资本效率。,高,宏观连锁餐饮，不是粤菜专项。,2026-06-17,对陶陶居/点都德的供应链与运营能力要求提供背景。
头豹/红餐小程序数据引用,行业研究报告,粤菜行业客单价与连锁化,https://pdf.dfcfw.com/pdf/H3_AP202312261614910342_1.pdf,公开PDF可访问,报告引用红餐小程序公开数据称截至2023年8月粤菜行业平均客单价92.4元，高于中式正餐83.6元；并提到粤菜品牌连锁化程度较低、行业分散。,用于解释粤菜价格天然偏高、连锁化难度高，赣州进入需做价格带适配。,中高（行业报告引用数据）,全国/行业层面，非赣州本地样本。,2026-06-17,为陶陶居/点都德价格风险提供背景。
赢商网,商业地产/购物中心行业媒体,赣州万象城商业能级,https://m.winshang.com/news633134.html,公开可访问,报道赣州万象城开业300多个品牌中超60%首进赣州；开业两年年销售额破9亿元，月均客流近百万，全年客流超千万人次。,用于判断赣州万象城具备城市首店/餐饮首店承接能力，是陶陶居/点都德若进入时的优先商圈候选。,中高（商业地产媒体）,数据发布较早，需用更新资料校正当前客流。,2026-06-17,支持“赣州核心商业体可承接标杆品牌”，但不是品类复购证据。
China Daily/东方网转载,商业新闻,赣州万象城近期商业表现片段,https://ex.chinadaily.com.cn/exchange/partners/82/rss/channel/cn/columns/sz8srm/stories/WS652fa3faa310d5acd876a9ff.html,公开可访问,2023年报道提到赣州万象城为高端商圈，2022年零售额16.8亿元、年均客流超1200万人次、日均客流3.5万人次。,用于更新赣州万象城商业能级判断。,中（品牌开业稿/转载）,来自品牌活动稿，需谨慎看待；非餐饮专属数据。,2026-06-17,可作为商圈客流背景，不等同粤式餐饮需求。
赢商网,商业地产/购物中心行业媒体,赣州九方商业布局,https://m.winshang.com/news667105.html,公开可访问,报道九方公司深耕赣州市场，已布局九方购物中心、九方巨亿广场、信丰九方购物中心、赣州九方荟等项目。,用于判断九方在赣州商业地位和多项目布局，可承接港式茶餐厅/烧腊轻量模型。,中高,不是餐饮经营数据；不能证明粤菜需求。,2026-06-17,九方更适合观察港式快餐/冰室/烧腊等中低客单模型。
赣州本地生活目录/九方商家列表,本地生活公开目录,九方港式/粤式餐饮历史供给,https://m.az0797.com/SHOW_SJ_LIST.asp?class3id=2,公开可访问,九方商家列表显示香港油尖旺烧腊茶餐厅等餐饮商户。,与商业地产资料合并，用于判断九方历史上承载过港式烧腊/茶餐厅供给。,中,目录可能较旧，营业状态不确定。,2026-06-17,已纳入门店线索，不作当前营业强证据。
Chrome访问记录,浏览器核验日志,Chrome插件访问状态,https://m.canyin88.com/zixun/2020/01/20/77006.html,页面可打开；正文抽取超时,Chrome openTabs显示红餐网文章页与百度搜索页已打开，但该页面正文提取两次超时；改用公开网页检索结果读取同一来源。,记录本轮未用Chrome做批量抓取，避免对复杂页面反复请求。,操作日志,不是市场数据。,2026-06-17,符合不绕过平台限制原则。
