store_name,platform,category,district,business_area,address,avg_price,rating,review_count,favorite_count,recommended_dishes,in_mall,has_morning_tea,has_private_room,family_friendly,business_friendly,source_url_or_note,collected_at,notes
悦得闲广式点心茶楼（万象城店/赣州线索）,抖音公开搜索结果；YouTube公开标题,广式早茶/点心茶楼,章贡区（待核验）,万象城（待核验）,待核验,,,,,点心、早茶（具体菜品待核验）,是（待核验）,是（待核验）,待核验,待核验,待核验,ai_leads_classified.csv；来源为公开社媒标题/片段,2026-06-17,高相关线索；需核验是否仍营业、全名、地址、人均、评论量、是否全天茶市；不要把社媒热度等同复购。
味莊茶餐厅·自家点心（万象城店）,大众点评公开图片页；360地图公开索引,港式茶餐厅/自家点心,章贡区（待核验）,万象城,华润中心万象城5楼526商铺（地图索引线索，待核验）,,,,,港式鲜虾饺、点心（公开图片标签线索）,是,待核验,待核验,待核验,待核验,ai_leads_classified.csv；360地图公开索引；大众点评公开图片页,2026-06-17,高相关线索；缺少可靠人均/评分/评论量；需人工打开平台核验是否仍营业和当前口碑。
味莊茶餐厅（阳明国际店）,Trip.com,港式茶餐厅/粤式茶餐厅,待核验,阳明国际,阳明国际（具体地址待核验）,,5.0（Trip.com线索，待核验）,16（Trip.com线索，待核验）,,待核验,待核验,待核验,待核验,待核验,待核验,https://hk.trip.com/restaurant/china/ganzhou/detail/restaurant-33641709,2026-06-17,Trip.com公开页面线索；评论片段称粤式茶餐厅且赣州多店；需核验是否仍营业、人均、评分和评论真实性。
赣州香港油尖旺烧腊茶餐厅（九方）,吃喝玩乐IN赣州,烧腊/港式茶餐厅/粤式快餐,章贡区（待核验）,九方购物中心,章贡区长征大道1号九方购物中心4楼（本地生活站点线索，待核验）,,,,,香港烧腊、烧味饭、港式菜品,是,待核验,待核验,待核验,待核验,https://www.az0797.com/showsj611.html；https://m.az0797.com/SHOW_SJ_LIST.asp?class3id=2,2026-06-17,高相关烧腊/港式样本；本地生活站点可能较旧；需核验是否仍在九方营业、当前人均评分评论。
港吉冰室（九方店）,大众点评吃喝玩乐精选公开页,港式茶餐厅/冰室,章贡区（待核验）,九方购物中心,赣州市章贡区九方4楼（探店页线索，待核验）,40+（探店页线索，待核验）,,,,待核验,是,待核验,待核验,待核验,待核验,https://www.dianping.com/discovery/841899812,2026-06-17,高相关港式茶餐厅线索；公开探店页较早；需核验是否仍营业，探店热度不等于复购。
太极粤菜中餐厅,携程/Trip.com；永安旅游,粤菜正餐/酒店中餐厅,章贡区,万象城/黄金广场附近,长征大道1号赣州格兰云天国际酒店4F（公开页面线索）,52（携程线索，待核验）,4.0（携程/永安线索，待核验）,6（携程线索，待核验）,,待核验,否（酒店内，待核验）,待核验,待核验,待核验,是（酒店中餐厅场景，待核验）,https://gs.ctrip.com/html5/you/foods/fooddetail/473/85560.html；https://www.wingontravel.com/discovery/restaurant-152358,2026-06-17,酒店粤菜样本；可用于粤菜正餐/商务场景观察，但不等同大众商场茶楼消费；需核验营业状态。
火啫啫粤式啫啫煲（赣州万象城）,360地图公开索引,粤式啫啫煲/粤菜正餐,章贡区（待核验）,万象城,赣州万象城（具体铺位待核验）,,,,,啫啫煲（待核验）,是,否（待核验）,待核验,待核验,待核验,ai_leads_classified.csv；360地图公开索引,2026-06-17,高相关粤式正餐/啫啫煲线索；需核验是否仍营业、菜单、人均、评论量。
避风塘（万嘉商业广场店）,携程/Trip.com,港式茶餐厅,待核验,万嘉商业广场（待核验是否赣州市区）,待核验,78（携程线索，待核验）,,182（携程线索，待核验）,,虾饺、叉烧包、肠粉、干炒牛河（携程页面线索）,是（待核验）,午茶供应（待核验）,待核验,待核验,待核验,ai_leads_classified.csv；携程/Trip.com公开页面线索,2026-06-17,高相关但需确认是否位于赣州市区核心样本；平台页面有人均和点评量线索；需核验是否仍营业。
利苑港式茶餐厅/港式粤菜茶楼,地图/Business Search；TripAdvisor；吃喝玩乐IN赣州,港式茶餐厅/粤菜茶楼,章贡区（待核验）,红旗大道/赣龙大酒店附近（待核验）,红旗大道赣龙大酒店旁（本地生活站点线索，待核验）,,,0（TripAdvisor线索，待核验）,,港式口味餐饮（具体待核验）,否（待核验）,待核验,待核验,待核验,待核验,https://cn.tripadvisor.com/Restaurant_Review-g1016926-d4861016-Reviews-Li_Yuan_Hong_Kong_Style_Tea_Restaurant-Ganzhou_Jiangxi.html；https://www.az0797.com/showsj354.html,2026-06-17,多源但偏旧；评论量不足；需核验是否仍营业、中文名、地址和当前平台信息。
有意思港式茶餐厅（含营角上店线索）,TripAdvisor；大众点评公开图片页,港式茶餐厅,待核验,营角上（待核验）,待核验,,3.0（TripAdvisor线索，待核验）,少量/待核验,,待核验,待核验,待核验,待核验,待核验,待核验,https://cn.tripadvisor.com/Restaurant_Review-g1016926-d4861884-Reviews-YouYiSi_Hong_Kong_Style_Tea_Restaurant-Ganzhou_Jiangxi.html；https://www.dianping.com/shop/5408297/photos?pg=2,2026-06-17,中相关港式茶餐厅线索；信息可能老旧；需核验是否仍营业和当前评分人均评论。
味庄粤港烧腊海鲜茶餐厅（达芬奇店）,360地图公开索引,烧腊/粤港茶餐厅,待核验,达芬奇店（具体商圈待核验）,待核验,,,,,烧腊、海鲜、茶餐厅菜品（待核验）,待核验,待核验,待核验,待核验,待核验,ai_leads_classified.csv；360地图公开索引,2026-06-17,中相关烧腊/粤港茶餐厅线索；需核验具体地址、是否仍营业、人均与评价。
港式茶餐厅（地一大道中环广场）,赣州本地宝,港式茶餐厅/粤菜,章贡区,地一大道中环广场,章贡区地一大道中环广场美食区（本地宝线索，待核验）,,,,,待核验,是（待核验）,待核验,待核验,待核验,待核验,https://m.ganzhou.bendibao.com/wangdian/dian/4607845.shtm,2026-06-17,门店名称过泛；需核验真实店名和是否仍营业后再作为正式样本。
悦之味港式茶餐厅,抖音公开搜索结果,港式茶餐厅,待核验,沙河（待核验）,待核验,,,,,蒸凤爪、金钱肚、鲜虾肠、虾饺皇（社媒片段线索）,待核验,待核验,待核验,待核验,待核验,ai_leads_classified.csv；抖音公开搜索片段,2026-06-17,社媒片段线索；需核验门店全名、地址、是否仍营业；不要把社媒热度等同复购。
积堡福港式餐厅,TripAdvisor/搜索结果,港式餐厅,待核验,待核验,待核验,,,,,待核验,待核验,待核验,待核验,待核验,待核验,ai_leads_classified.csv；TripAdvisor赣州中餐列表线索,2026-06-17,榜单型线索，缺少细节；需核验门店是否存在、是否仍营业、地址和人均。
