evidence_id,topic,source_name,source_url,source_date_or_recency,evidence_type,reliability,key_data_or_observation,commercial_use
E01,赣州消费基本盘,赣州市2025年国民经济和社会发展统计公报,https://www.ganzhou.gov.cn/gzszf/c100022/202604/38a12f964da545109b1b16697faee249.shtml,2026-04发布/2025全年,官方统计,A,2025年赣州社会消费品零售总额2352.42亿元增长5.6%;限额以上单位餐饮收入74.52亿元增长6.8%,说明赣州餐饮消费仍有增长但需看价格带
E02,全国餐饮环境,中华人民共和国2025年国民经济和社会发展统计公报,https://www.stats.gov.cn/sj/zxfbhjd/202602/t20260228_1962662.html,2026-02发布/2025全年,官方统计,A,2025年全国餐饮收入57982亿元增长3.2%,赣州限上餐饮增速高于全国餐饮增速
E03,赣州万象城商业能级,赢商网赣州万象城报道,https://m.winshang.com/news633134.html,历史报道,商业地产媒体,B,赣州万象城开业品牌中超60%首进赣州;年销售额破9亿元;全年客流超千万人次,判断万象城具备城市首店和标杆餐饮承接能力
E04,赣州万象城近年表现,China Daily/东方网转载名创优品开业稿,https://ex.chinadaily.com.cn/exchange/partners/82/rss/channel/cn/columns/sz8srm/stories/WS652fa3faa310d5acd876a9ff.html,2023-10,商业新闻/品牌稿,B,提到赣州万象城2022年零售额16.8亿元年均客流超1200万人次日均客流3.5万人次,更新万象城商业能级但需注意为品牌稿口径
E05,九方商业布局,赢商网九方荟报道,https://m.winshang.com/news667105.html,2019-12,商业地产媒体,B,九方在赣州布局九方购物中心九方巨亿广场信丰九方购物中心赣州九方荟,判断九方适合观察中低客单港式/烧腊/冰室模型
E06,广式早茶最新本地信号,抖音公开搜索-悦得闲赣州万象城,https://www.douyin.com/search/%E6%82%A6%E5%BE%97%E9%97%B2%E8%8C%B6%E9%A4%90%E5%8E%85%E8%B5%A3%E5%B7%9E%E4%B8%87%E8%B1%A1%E5%9F%8E,2026年搜索片段显示约3个月前,社媒公开片段,C,片段出现万象城悦得闲正宗广式早茶值得一去请长辈吃饭等语义,说明早茶/长辈家庭场景已在社媒可见但不能等同复购
E07,广式早茶本地视频信号,YouTube赣州悦得闲早茶视频,https://www.youtube.com/watch?v=CwbWrzyhrBk,2024-11发布/搜索显示1.6年前,公开视频,C,标题为江西赣州在知名广东全天茶市品牌饮早茶悦得闲,强化赣州已有广东全天茶市品牌线索
E08,味庄阳明国际,Trip.com味莊茶餐厅阳明国际店,https://hk.trip.com/restaurant/china/ganzhou/detail/restaurant-33641709,页面当前可访问评论为2021年,旅游餐饮聚合页,B,页面显示5.0分16条评价;评论称粤式茶餐厅在赣州开了蛮多家,证明赣州曾有多店港式/粤式茶餐厅供给但数据偏旧
E09,味庄万象城,大众点评公开图片页,https://www.dianping.com/shop/l93hy6Cd2liL3OJO/photos/tag-%E7%8E%AF%E5%A2%83?pg=3,当前可访问,平台公开图片页,B,显示味莊茶餐厅·自家点心万象城店有69张环境图片,证明万象城样本有可见门店内容但未取完整评论
E10,港吉冰室九方,大众点评吃喝玩乐精选公开页,https://www.dianping.com/discovery/841899812,当前可访问,平台公开探店页,B,公开页显示港吉冰室九方店位于赣州市章贡区九方4楼人均40+,港式茶餐厅/冰室模型在九方可见
E11,香港油尖旺九方,吃喝玩乐IN赣州九方商家列表,https://m.az0797.com/SHOW_SJ_LIST.asp?class3id=2,当前可访问但信息可能较旧,本地生活目录,C,列表含赣州香港油尖旺烧腊茶餐厅地址章贡区长征大道1号九方购物中心4楼,作为烧腊/港式茶餐厅历史供给线索
E12,香港油尖旺评价,途牛香港油尖旺腊烧茶餐厅,https://www.tuniu.com/restaurant/3276017/,当前可访问但评论较旧,旅游餐饮聚合页,C,页面显示其为江西赣州快餐小吃位于九方4楼且有港式风味/烧腊快餐评价片段,说明烧腊快餐有历史口碑线索
E13,赣州本地粤菜目录,赣州本地宝粤菜目录,https://m.ganzhou.bendibao.com/wangdian/yuecai/,当前可访问但目录可能较旧,本地生活目录,C,显示木欣百合粤式养生炖品等粤菜目录信息,补充轻餐/炖品型粤式供给
E14,点都德规模与模型,大洋网点都德报道,https://life.dayoo.com/meal/202510/20/154540_54885922.htm,2025-10报道,媒体/品牌资讯,B,称点都德已在13个城市自营近100家门店;有3000名点心师和700款点心,判断点都德模型更偏点心茶市和多城直营
E15,点都德文化传播,深圳新闻网点都德报道,https://www.sznews.com/news/content/mb/2025-03/17/content_31490890.htm,2025-03报道,媒体/品牌资讯,B,称点都德全国11城自营近100家门店并传播一盅两件饮茶文化,说明品牌有跨城文化教育能力
E16,陶陶居官方门店信息,陶陶居官网企业新闻,https://www.taotaoju1880.com/news/241.html,官网当前可访问/含2024门店新闻,品牌官网,A,官网新闻显示陶陶居第38家分店中华广场店开业且广州地区第18家分店,用于确认陶陶居规模较点都德小且老字号属性更强
E17,陶陶居外拓与价格,北京旅游网/北京商报转载,https://www.visitbeijing.com.cn/article/47Qne0AGtiI,历史报道,商业媒体,B,报道陶陶居北京门店人均约150元广州普通门店约100元并提到后厨服务团队大量广州培训,用于判断陶陶居供应链与人力成本压力
E18,广式茶楼外拓价格带,红餐网广式茶楼走红上海,https://m.canyin88.com/zixun/2020/01/20/77006.html,2020-01,行业媒体,B,文章称点都德陶陶居在上海约110-150元之间并形成质价比机会,用于对比赣州本地样本65.5元均值
E19,点都德德小馆商场模型,赢商网德小馆上海正大广场,https://m.winshang.com/news667762.html,2020-01,商业地产媒体,B,报道点都德副牌德小馆全国首店进驻上海正大广场定位年轻时尚粤菜小馆,说明点都德有商场年轻化副牌逻辑
E20,粤菜行业价格与连锁化,头豹粤菜报告,https://pdf.dfcfw.com/pdf/H3_AP202312261614910342_1.pdf,2023报告,行业研究,B,报告引用红餐小程序数据称粤菜行业平均客单价92.4元高于中式正餐83.6元且连锁化程度低,支持粤菜入赣的价格与标准化风险判断
E21,餐饮下沉趋势,中国饭店协会2025中国餐饮业年度报告发布页,https://www.chinahotel.org.cn/articles/17417,2025报告发布页,行业协会,A,指出轻量化店铺模型和下沉市场布局速度加快,支持先轻量验证再大店进入
E22,餐饮下沉与客单压力,KPMG 2026中国餐饮企业发展报告,https://kpmg.com/cn/zh/insights/2026/05/2026-china-food-and-beverage-enterprise-development-report.html,2026-05,咨询机构报告,A,报告称餐饮面临存量竞争和客单价下行但下沉市场扩容,支持谨慎定价
E23,连锁餐饮资本扩张逻辑,PwC/CCFA中国连锁餐饮企业资本之路2025,https://www.pwccn.com/zh/industries/retail-and-consumer/publications/china-chain-catering-enterprises-dec2025.html,2025报告,咨询机构/协会,A,指出上市餐企扩张关注开新店供应链服务质量下沉市场和出海,支持对供应链和标准化的判断
